num_poses,mmd_num,l2_num,l2_std_num,ang_num,ang_std_num,mmd_nsf,l2_nsf,l2_std_nsf,ang_nsf,ang_std_nsf,mmd_paik,l2_paik,l2_std_paik,ang_paik,ang_std_paik
50,0.0,0.42505622888559985,0.32284010596909296,0.05173557586801641,0.0028730254581027185,5.24,2.7870088866517175,3.2178694890615236,1.356346191111044,2.0421150225625992,1.29,4.350589172185519,14.105544928849946,2.2093125990278315,9.747704100307626
100,0.0,0.42505622888559985,0.32284010596909296,0.05173557586801641,0.0028730254581027185,5.23,2.378166373180208,1.7678752321583564,1.7920078374789947,6.571512642032036,1.37,3.658652864050906,6.683184010041498,1.8004598561092173,5.047727503594026
200,0.0,0.42505622888559985,0.32284010596909296,0.05173557586801641,0.0028730254581027185,5.23,2.7860616831068543,3.666989748323855,1.6623587361875793,3.7102318948029693,1.34,3.3816727205112977,5.986670879552634,1.5046940708832206,4.295709384309026
500,0.0,0.42505622888559985,0.32284010596909296,0.05173557586801641,0.0028730254581027185,5.23,3.147114777204282,7.17647607192525,2.2584958587229944,8.839617601723644,1.33,3.8599130890908273,11.043510909216556,1.8933273218643585,5.283791301524527
1000,0.0,0.42505622888559985,0.32284010596909296,0.05173557586801641,0.0028730254581027185,5.25,2.877509057733344,3.8642034889233883,1.6174949427734537,3.9524692180608367,1.34,3.6008589077763165,8.43423511300454,1.724119314518623,5.001346480484147
2000,0.0,0.42505622888559985,0.32284010596909296,0.05173557586801641,0.0028730254581027185,5.24,2.840049160531206,3.7992710417760445,1.811266547825555,6.6828390291183855,1.35,3.7606775540290878,10.349732579276193,1.755047019010076,4.716529642719708
